# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR13160334_sorted.bam" "SRR13160327_sorted.bam" "SRR13160337_sorted.bam" "SRR13160328_sorted.bam" "SRR13160329_sorted.bam" "SRR13160336_sorted.bam" "SRR13160338_sorted.bam" "SRR13160331_sorted.bam" "SRR13160330_sorted.bam" "SRR13160335_sorted.bam" "SRR13160332_sorted.bam" "SRR13160333_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13160334_sorted.bam	SRR13160327_sorted.bam	SRR13160337_sorted.bam	SRR13160328_sorted.bam	SRR13160329_sorted.bam	SRR13160336_sorted.bam	SRR13160338_sorted.bam	SRR13160331_sorted.bam	SRR13160330_sorted.bam	SRR13160335_sorted.bam	SRR13160332_sorted.bam	SRR13160333_sorted.bam
gene-PA1462	NC_002516.2	1592271	1593059	+	789	33	242	32	286	244	1	31	50	290	33	174	96
gene-PA1463	NC_002516.2	1593151	1594041	+	891	38	213	39	242	230	1	22	55	231	23	187	49
gene-PA1464	NC_002516.2	1594087	1594566	+	480	94	403	97	777	716	8	67	163	599	79	702	102
gene-PA1465	NC_002516.2	1594597	1595004	+	408	24	76	20	145	99	0	9	34	140	15	116	17
gene-PA1466	NC_002516.2	1595032	1595718	-	687	7	56	13	63	54	2	3	8	80	5	52	13
gene-PA1467	NC_002516.2	1595827	1596798	+	972	6	26	8	31	31	0	3	10	26	4	23	7
gene-PA1468	NC_002516.2	1596889	1597305	+	417	5	13	5	18	7	0	2	4	9	1	7	6
gene-PA1469	NC_002516.2	1597365	1598087	+	723	3	15	11	35	20	0	5	3	42	2	8	5
gene-PA1470	NC_002516.2	1598221	1598958	+	738	4	19	3	13	16	0	0	3	11	4	7	5
gene-PA1471	NC_002516.2	1599024	1599320	-	297	0	7	1	1	6	0	0	1	4	2	4	2
gene-PA1472	NC_002516.2	1599428	1599982	-	555	1	17	7	10	16	0	3	0	9	2	12	3
gene-PA1473	NC_002516.2	1600083	1600418	-	336	0	4	9	11	7	0	1	0	5	1	7	1
gene-PA1474	NC_002516.2	1600415	1601893	-	1479	29	77	42	124	112	3	28	14	78	28	75	55
gene-PA1475	NC_002516.2	1602179	1602880	+	702	30	111	40	169	164	0	19	17	104	25	115	32
gene-PA1476	NC_002516.2	1602877	1603548	+	672	8	142	9	101	98	0	7	16	79	9	50	35
gene-PA1477	NC_002516.2	1603671	1604429	+	759	20	219	36	242	218	4	23	24	132	17	133	62
gene-PA1478	NC_002516.2	1604426	1604602	+	177	5	41	4	66	65	1	5	4	32	4	20	5
gene-PA1479	NC_002516.2	1604599	1605087	+	489	31	104	27	142	152	2	13	21	128	19	99	36
gene-PA1480	NC_002516.2	1605088	1607061	+	1974	25	215	33	271	275	2	25	41	268	22	195	43
gene-PA1481	NC_002516.2	1607065	1607607	+	543	21	124	16	157	144	3	10	41	133	15	152	21
gene-PA1482	NC_002516.2	1607604	1608071	+	468	13	86	16	132	111	3	11	20	121	10	106	12
gene-PA1483	NC_002516.2	1608068	1609291	+	1224	54	250	40	345	335	4	32	94	309	23	267	27
gene-PA1483a	NC_002516.2	1609318	1609734	+	417	13	70	11	69	64	0	4	17	68	5	58	8
gene-PA1484	NC_002516.2	1609738	1610544	-	807	4	39	6	51	53	1	3	6	65	2	35	10
gene-PA1485	NC_002516.2	1610745	1612112	+	1368	6	4	4	11	2	1	3	3	16	3	4	0
gene-PA1486	NC_002516.2	1612126	1613226	+	1101	3	4	4	10	7	2	1	1	10	1	8	1
gene-PA1487	NC_002516.2	1613234	1614649	-	1416	9	16	5	32	11	0	4	3	27	7	15	9
gene-PA1488	NC_002516.2	1614670	1615908	-	1239	2	12	4	20	9	1	1	8	8	4	9	4
gene-PA1489	NC_002516.2	1615895	1617085	-	1191	5	15	8	22	21	2	4	1	28	5	20	5
gene-PA1490	NC_002516.2	1617489	1618265	-	777	1	15	5	14	6	1	1	1	14	1	4	6
gene-PA1491	NC_002516.2	1618612	1619847	+	1236	9	31	9	39	29	0	5	7	30	4	31	11
gene-PA1492	NC_002516.2	1619907	1620263	+	357	3	10	5	23	9	0	1	6	16	4	12	6
gene-PA1493	NC_002516.2	1620345	1621343	-	999	16	100	17	105	95	2	12	16	100	23	65	43
gene-PA1494	NC_002516.2	1621472	1623127	-	1656	3	7	8	28	28	0	1	4	40	5	26	8
gene-PA1495	NC_002516.2	1623251	1623877	-	627	8	14	1	21	28	0	2	6	34	1	17	7
gene-PA1496	NC_002516.2	1623864	1624715	-	852	7	21	5	27	42	0	1	7	50	3	25	10
gene-PA1497	NC_002516.2	1624781	1625695	-	915	4	10	3	8	7	0	0	0	7	0	1	2
gene-PA1498	NC_002516.2	1626062	1627495	-	1434	7	9	4	10	13	0	1	3	17	6	7	7
gene-PA1499	NC_002516.2	1627497	1628762	-	1266	2	4	5	6	7	0	0	2	11	2	9	5
gene-PA1500	NC_002516.2	1629059	1629949	-	891	1	12	6	5	6	0	0	1	8	2	7	7
gene-PA1501	NC_002516.2	1630024	1630806	-	783	10	36	5	17	14	0	3	5	10	3	16	8
gene-PA1502	NC_002516.2	1630902	1632677	-	1776	8	19	6	15	11	0	4	2	14	2	24	10
gene-PA1503	NC_002516.2	1633006	1633437	+	432	2	10	2	7	7	0	2	1	5	0	4	2
gene-PA1504	NC_002516.2	1633842	1634492	-	651	9	28	10	45	33	1	4	14	31	7	23	20
gene-PA1505	NC_002516.2	1634728	1635723	+	996	6	100	12	111	92	1	8	21	138	8	55	10
gene-PA1506	NC_002516.2	1635908	1636237	+	330	1	28	5	23	16	1	5	4	24	2	14	4
gene-PA1507	NC_002516.2	1636329	1637696	-	1368	9	28	13	42	24	1	6	10	53	7	30	13
gene-PA1508	NC_002516.2	1638379	1638639	-	261	3	17	7	17	3	1	0	1	12	2	16	12
gene-PA1509	NC_002516.2	1638652	1639794	-	1143	10	74	17	59	43	3	11	11	63	13	54	43
gene-PA1510	NC_002516.2	1639791	1641500	-	1710	26	99	22	78	74	2	9	27	155	19	121	54
gene-PA1511	NC_002516.2	1641497	1644025	-	2529	31	89	26	115	96	0	12	15	143	14	121	34
gene-PA1512	NC_002516.2	1644207	1644725	-	519	4	11	5	12	5	0	3	2	20	0	16	4
gene-PA1513	NC_002516.2	1645211	1646488	-	1278	9	23	10	45	17	2	4	4	24	6	22	18
gene-PA1514	NC_002516.2	1646537	1647046	-	510	2	21	9	19	12	0	1	2	17	3	11	2
gene-PA1515	NC_002516.2	1647101	1648099	-	999	4	16	12	23	20	0	1	2	21	2	20	7
gene-PA1516	NC_002516.2	1648117	1648632	-	516	4	9	9	16	6	0	2	4	9	1	9	3
gene-PA1517	NC_002516.2	1648629	1649555	-	927	4	8	5	25	9	1	5	3	16	3	20	7
gene-PA1518	NC_002516.2	1649928	1650308	+	381	0	7	6	14	10	0	3	2	11	2	10	7
gene-PA1519	NC_002516.2	1650549	1651898	-	1350	2	15	8	23	13	0	3	3	21	4	6	6
gene-PA1520	NC_002516.2	1652273	1653052	+	780	43	118	51	261	197	7	40	38	174	41	206	51
gene-PA1521	NC_002516.2	1653106	1654410	-	1305	7	18	9	36	24	0	4	7	50	7	29	6
gene-PA1522	NC_002516.2	1654480	1655319	-	840	12	47	9	42	37	0	3	14	56	13	33	22
gene-PA1523	NC_002516.2	1655346	1657745	-	2400	18	29	11	45	13	0	8	10	41	5	30	11
gene-PA1524	NC_002516.2	1657738	1659192	-	1455	8	9	4	16	10	0	1	2	12	4	10	6
gene-PA1525	NC_002516.2	1659413	1660546	-	1134	9	22	12	30	19	0	3	4	24	2	18	9
gene-PA1526	NC_002516.2	1660727	1661386	+	660	27	114	41	176	147	1	15	26	137	24	158	38
gene-PA1527	NC_002516.2	1661412	1664900	+	3489	110	866	181	1234	1214	10	108	197	892	140	924	207
gene-PA1528	NC_002516.2	1665065	1665934	+	870	114	592	147	952	764	12	94	165	758	113	796	173
gene-PA1529	NC_002516.2	1666025	1668409	+	2385	88	379	94	531	490	4	66	113	477	50	586	116
gene-PA1530	NC_002516.2	1668455	1668832	+	378	24	165	32	202	183	3	25	33	162	15	174	39
gene-PA1530.1	NC_002516.2	1668840	1669799	+	960	33	148	60	118	98	6	19	16	142	20	98	59
gene-PA1531	NC_002516.2	1669086	1669952	-	867	8	39	11	51	43	0	7	1	31	6	20	19
gene-PA1532	NC_002516.2	1669989	1672034	+	2046	78	433	95	602	622	4	70	178	572	72	618	107
gene-PA1533	NC_002516.2	1672080	1672406	+	327	55	369	66	536	444	6	57	120	495	55	602	145
gene-PA1534	NC_002516.2	1672485	1673081	+	597	13	151	25	200	216	1	15	36	244	12	194	34
gene-PA1535	NC_002516.2	1673204	1674352	+	1149	20	122	25	127	98	1	15	18	117	8	91	29
gene-PA1536	NC_002516.2	1674365	1674904	-	540	2	23	8	36	27	0	5	2	40	7	21	10
gene-PA1537	NC_002516.2	1674978	1675865	-	888	1	2	4	4	2	0	0	3	11	1	3	5
gene-PA1538	NC_002516.2	1675862	1677445	-	1584	24	26	29	72	51	1	11	13	82	21	53	19
gene-PA1539	NC_002516.2	1677559	1678407	+	849	43	52	60	141	102	2	12	37	121	31	83	18
gene-PA1540	NC_002516.2	1678261	1678590	-	330	7	23	23	34	23	1	0	10	14	5	24	5
gene-PA1541	NC_002516.2	1678584	1678952	-	369	15	21	32	54	34	1	3	16	34	12	36	10
gene-PA1542	NC_002516.2	1679361	1680197	-	837	9	24	16	28	20	0	5	3	19	5	20	9
gene-PA1543	NC_002516.2	1680437	1680985	-	549	10	39	21	59	55	1	5	16	50	11	48	18
gene-PA1544	NC_002516.2	1681071	1681805	-	735	40	195	40	215	206	4	30	54	207	27	184	69
gene-PA1545	NC_002516.2	1682051	1682518	+	468	151	131	134	304	164	13	79	86	193	88	190	126
gene-PA1546	NC_002516.2	1682567	1683949	-	1383	83	470	127	581	441	10	65	47	163	57	157	128
gene-PA1547	NC_002516.2	1684077	1684760	-	684	12	25	17	29	20	1	8	6	46	6	33	11
gene-PA1548	NC_002516.2	1684753	1684962	-	210	7	32	15	33	34	0	11	7	49	8	28	10
gene-PA1549	NC_002516.2	1684941	1687376	-	2436	34	78	46	138	111	3	21	22	105	12	56	15
gene-PA1550	NC_002516.2	1687373	1687912	-	540	18	65	17	99	81	3	3	19	95	12	70	6
gene-PA1551	NC_002516.2	1687924	1689339	-	1416	17	128	38	235	159	2	8	23	128	10	107	19
gene-PA1552	NC_002516.2	1689557	1690513	-	957	29	277	52	311	290	6	43	92	168	45	272	102
gene-PA1552.1	NC_002516.2	1690510	1690695	-	186	21	135	33	203	164	5	23	70	131	28	196	55
gene-PA1553	NC_002516.2	1690701	1691312	-	612	53	363	57	501	441	14	51	140	320	78	451	106
gene-PA1554	NC_002516.2	1691327	1692754	-	1428	99	508	134	830	789	22	83	196	613	139	885	180
gene-PA1555	NC_002516.2	1693119	1694045	-	927	20	97	17	55	87	2	10	125	358	23	244	57
gene-PA1555.1	NC_002516.2	1694042	1694227	-	186	4	60	9	37	38	1	1	38	117	7	96	23
gene-PA1556	NC_002516.2	1694233	1694841	-	609	10	112	9	64	80	0	6	71	210	2	160	31
gene-PA1557	NC_002516.2	1694852	1696279	-	1428	12	183	20	176	156	0	10	75	267	13	192	28
gene-PA1558	NC_002516.2	1696467	1697099	+	633	3	16	7	22	14	0	0	7	27	3	15	5
gene-PA1561	NC_002516.2	1698382	1699947	-	1566	23	206	23	231	216	0	7	28	213	22	136	40
gene-PA1562	NC_002516.2	1700320	1703052	-	2733	49	79	66	149	129	4	22	54	238	42	208	125
gene-PA1563	NC_002516.2	1703379	1704437	+	1059	15	93	18	89	83	0	9	22	81	8	68	29
gene-PA1564	NC_002516.2	1704522	1704761	+	240	1	18	6	38	36	0	5	8	20	4	34	3
gene-PA1565	NC_002516.2	1704793	1706103	-	1311	7	25	12	34	38	0	4	8	37	5	43	12
gene-PA1566	NC_002516.2	1706172	1707536	-	1365	2	11	4	14	8	0	2	3	17	2	12	1
gene-PA1567	NC_002516.2	1708004	1709401	-	1398	8	28	10	32	22	0	6	3	29	2	10	8
gene-PA1568	NC_002516.2	1709412	1709765	-	354	1	9	1	10	2	0	3	0	5	1	5	1
gene-PA1569	NC_002516.2	1709821	1711191	-	1371	3	10	5	17	6	0	3	1	8	6	7	9
gene-PA1570	NC_002516.2	1711569	1712450	+	882	10	66	15	98	80	0	4	15	48	8	45	8
gene-PA1571	NC_002516.2	1712519	1712698	-	180	8	34	10	27	18	0	7	9	22	8	26	12
gene-PA1572	NC_002516.2	1712908	1714053	+	1146	24	140	16	108	109	0	12	27	135	19	94	50
gene-PA1573	NC_002516.2	1714064	1714660	+	597	6	69	12	61	61	0	3	12	56	8	45	12
gene-PA1574	NC_002516.2	1714778	1715059	-	282	14	81	27	128	134	7	22	41	114	43	103	29
gene-PA1575	NC_002516.2	1715154	1715705	-	552	2	9	4	12	10	0	2	5	14	0	6	3
gene-PA1576	NC_002516.2	1715809	1716675	+	867	31	78	24	128	91	0	13	32	141	17	125	26
gene-PA1577	NC_002516.2	1716682	1717023	-	342	11	24	12	43	31	0	6	7	41	8	37	18
gene-PA1578	NC_002516.2	1717139	1717894	+	756	5	20	12	33	27	2	4	5	43	2	18	8
gene-PA1578a	NC_002516.2	1717998	1718252	+	255	10	45	10	47	51	0	6	12	22	7	44	16
gene-PA1579	NC_002516.2	1718386	1718994	+	609	231	367	231	553	550	5	168	205	1052	241	1171	496
gene-PA1580	NC_002516.2	1719109	1720395	-	1287	60	280	67	296	331	10	45	105	427	55	334	143
gene-PA1581	NC_002516.2	1720744	1721130	+	387	141	694	183	1212	1131	24	146	226	1073	158	971	336
gene-PA1582	NC_002516.2	1721124	1721492	+	369	55	395	92	672	596	11	67	133	428	96	642	165
gene-PA1583	NC_002516.2	1721496	1723268	+	1773	388	1678	466	3457	3310	44	372	750	2849	468	3535	816
gene-PA1584	NC_002516.2	1723280	1723987	+	708	253	1126	283	1753	1485	18	209	425	1486	304	2049	651
gene-PA1585	NC_002516.2	1724244	1727075	+	2832	300	1376	357	2266	1856	53	304	609	1616	384	2617	1014
gene-PA1586	NC_002516.2	1727118	1728347	+	1230	251	669	258	1403	1181	29	230	492	977	356	1739	714
gene-PA1587	NC_002516.2	1728416	1729852	+	1437	523	1431	548	2723	2407	62	390	800	2075	598	3476	1502
gene-PA1588	NC_002516.2	1730181	1731347	+	1167	896	3027	1091	6293	4832	97	912	1499	3279	1377	7017	2794
gene-PA1589	NC_002516.2	1731347	1732234	+	888	1209	3095	1184	6421	5319	77	904	1427	3425	1530	6661	3250
gene-PA1590	NC_002516.2	1732545	1733858	+	1314	39	238	36	289	293	0	27	51	332	43	261	85
gene-PA1591	NC_002516.2	1734004	1734768	+	765	21	64	20	83	68	1	10	9	45	15	78	32
gene-PA1592	NC_002516.2	1734827	1735063	-	237	40	113	36	98	139	10	22	73	165	61	196	107
gene-PA1593	NC_002516.2	1735236	1735709	+	474	9	51	12	63	48	0	4	6	38	13	28	8
gene-PA1594	NC_002516.2	1735706	1736152	+	447	10	30	15	64	36	0	14	7	41	5	31	11
gene-PA1595	NC_002516.2	1736189	1737418	+	1230	13	80	19	141	104	3	14	26	87	7	69	28
gene-PA1596	NC_002516.2	1737536	1739440	+	1905	561	954	1007	2273	644	40	528	346	460	503	1363	1083
gene-PA1597	NC_002516.2	1739508	1740233	+	726	42	60	58	220	72	3	35	22	47	30	93	26
gene-PA1598	NC_002516.2	1740244	1741065	-	822	15	30	30	75	45	2	7	11	20	12	40	14
gene-PA1599	NC_002516.2	1741146	1741928	+	783	10	29	15	38	35	0	6	16	25	7	48	5
gene-PA1600	NC_002516.2	1741939	1743240	-	1302	15	25	11	39	56	0	9	18	26	7	50	6
gene-PA1601	NC_002516.2	1743290	1745536	-	2247	46	69	37	150	191	1	28	79	91	44	244	6
gene-PA1602	NC_002516.2	1745533	1746024	-	492	10	13	11	26	34	0	1	11	6	8	38	3
gene-PA1603	NC_002516.2	1746231	1746653	-	423	6	10	4	33	29	0	3	5	14	4	26	3
gene-PA1604	NC_002516.2	1746692	1747597	-	906	14	69	19	80	54	0	11	11	65	15	33	20
gene-PA1605	NC_002516.2	1747596	1748630	+	1035	11	46	14	63	33	1	7	6	50	6	42	23
gene-PA1606	NC_002516.2	1748699	1749175	+	477	4	7	4	9	10	0	4	5	14	4	12	3
gene-PA1607	NC_002516.2	1749349	1749789	-	441	151	406	116	367	242	4	57	82	380	87	212	210
gene-PA1608	NC_002516.2	1749895	1751520	-	1626	16	42	19	48	46	1	8	16	48	7	46	28
gene-PA1609	NC_002516.2	1751674	1752891	-	1218	205	524	270	952	992	44	218	214	715	233	902	268
gene-PA1610	NC_002516.2	1752903	1753418	-	516	202	651	222	634	675	23	152	166	424	186	677	434
gene-PA1611	NC_002516.2	1753607	1755562	-	1956	38	267	47	328	274	5	29	47	330	44	242	64
gene-PA1612	NC_002516.2	1755559	1756317	-	759	14	41	4	33	37	2	7	6	42	4	36	7
gene-PA1613	NC_002516.2	1756489	1758597	-	2109	15	88	13	79	83	0	10	19	116	9	70	30
gene-PA1614	NC_002516.2	1758748	1759770	+	1023	28	95	53	218	180	3	25	45	174	38	195	54
gene-PA1615	NC_002516.2	1759784	1760125	+	342	9	46	19	74	59	1	11	14	59	7	50	25
gene-PA1616	NC_002516.2	1760122	1760586	+	465	8	40	14	45	48	0	4	13	42	1	28	7
gene-PA1617	NC_002516.2	1760713	1762380	+	1668	20	160	37	180	110	1	25	25	190	21	118	40
gene-PA1618	NC_002516.2	1762433	1762870	+	438	9	54	15	52	45	0	4	11	54	7	55	22
gene-PA1619	NC_002516.2	1762928	1763752	+	825	3	11	4	24	24	0	0	8	23	3	21	7
gene-PA1620	NC_002516.2	1763793	1764434	+	642	1	3	3	3	2	0	2	1	7	0	3	3
gene-PA1621	NC_002516.2	1764536	1765348	+	813	3	32	18	46	34	0	5	3	59	3	29	16
gene-PA1622	NC_002516.2	1765345	1766205	+	861	2	24	8	24	23	0	3	2	26	2	23	8
gene-PA1623	NC_002516.2	1766285	1766947	+	663	10	49	11	64	56	2	5	21	57	5	49	11
gene-PA1624	NC_002516.2	1766956	1767762	+	807	10	47	10	46	63	3	6	16	75	6	64	9
gene-PA1625	NC_002516.2	1767928	1768995	+	1068	10	70	17	63	64	0	10	13	70	6	47	17
gene-PA1626	NC_002516.2	1769047	1770321	-	1275	5	29	6	30	23	0	4	2	20	3	22	2
gene-PA1627	NC_002516.2	1770337	1770984	-	648	2	12	5	10	20	1	2	1	25	0	6	3
gene-PA1628	NC_002516.2	1771122	1772651	-	1530	6	11	5	19	10	1	3	7	18	1	14	4
gene-PA1629	NC_002516.2	1772655	1773440	-	786	2	7	2	12	3	0	2	1	6	1	8	5
gene-PA1630	NC_002516.2	1773682	1774548	+	867	20	78	19	121	61	0	13	13	35	17	72	28
gene-PA1631	NC_002516.2	1774603	1775757	+	1155	11	36	12	49	35	0	4	5	33	4	38	12
gene-PA1632	NC_002516.2	1775849	1776034	+	186	1	7	5	17	3	0	1	1	0	2	1	1
gene-PA1633	NC_002516.2	1776045	1777739	+	1695	7	54	15	87	47	0	6	8	40	8	26	19
gene-PA1634	NC_002516.2	1777751	1779823	+	2073	3	14	7	32	21	0	1	1	11	1	3	4
gene-PA1635	NC_002516.2	1779877	1780428	+	552	0	7	1	8	3	1	0	0	1	0	3	1
gene-PA1636	NC_002516.2	1780536	1783193	+	2658	11	52	14	129	64	2	16	9	68	13	63	13
gene-PA1637	NC_002516.2	1783294	1783986	+	693	12	44	5	76	54	1	6	10	51	3	38	9
gene-PA1638	NC_002516.2	1784108	1785016	+	909	7	38	12	56	53	1	3	5	34	6	32	10
gene-PA1639	NC_002516.2	1785127	1785732	+	606	28	97	38	161	165	4	13	24	148	21	100	24
gene-PA1640	NC_002516.2	1785736	1786773	-	1038	16	111	40	137	117	6	23	22	132	19	100	47
gene-PA1641	NC_002516.2	1786888	1787166	+	279	4	15	5	10	11	0	1	3	12	0	17	5
gene-PA1642	NC_002516.2	1787250	1788284	+	1035	66	171	74	314	246	3	39	66	244	41	227	72
gene-PA1643	NC_002516.2	1788284	1789393	+	1110	36	171	51	266	198	0	26	31	203	18	191	36
gene-PA1643a	NC_002516.2	1789372	1789719	-	348	11	39	16	65	51	0	4	7	58	4	53	14
gene-PA1644	NC_002516.2	1789857	1790465	+	609	18	64	9	67	79	2	13	12	56	9	42	12
gene-PA1645	NC_002516.2	1790472	1790879	-	408	8	30	7	29	24	1	5	4	32	7	31	9
gene-PA1646	NC_002516.2	1791080	1793038	+	1959	25	59	19	59	58	0	10	12	77	15	51	32
gene-PA1647	NC_002516.2	1793019	1794740	-	1722	16	78	17	59	59	0	9	5	39	5	24	13
gene-PA1648	NC_002516.2	1794883	1795887	-	1005	3	11	1	9	7	0	1	0	10	3	14	4
gene-PA1649	NC_002516.2	1796138	1796899	+	762	3	26	7	26	21	0	1	12	42	4	31	7
gene-PA1650	NC_002516.2	1797058	1797951	+	894	3	11	4	16	22	1	2	2	18	1	25	5
gene-PA1651	NC_002516.2	1797958	1799154	-	1197	10	33	6	41	29	1	7	8	26	4	22	14
gene-PA1652	NC_002516.2	1799385	1800020	+	636	9	38	8	57	37	1	9	9	63	8	41	18
gene-PA1653	NC_002516.2	1800071	1800547	-	477	6	15	5	19	13	0	0	3	12	0	9	4
gene-PA1654	NC_002516.2	1800629	1801795	+	1167	8	62	8	51	52	1	4	8	35	6	31	11
gene-PA1655	NC_002516.2	1801851	1802453	+	603	14	88	12	73	48	1	10	10	49	8	61	24
gene-PA1656	NC_002516.2	1803626	1805182	+	1557	60	309	61	234	234	3	35	97	472	41	463	102
gene-PA1657	NC_002516.2	1805218	1805724	+	507	46	59	42	87	78	3	24	77	262	36	330	60
gene-PA1658	NC_002516.2	1805753	1807228	+	1476	86	85	97	116	127	9	32	115	415	50	576	158
gene-PA1659	NC_002516.2	1807241	1807648	+	408	7	8	3	8	13	0	0	10	34	2	51	18
gene-PA1660	NC_002516.2	1808193	1809773	+	1581	10	20	13	22	35	1	6	25	114	10	98	18
gene-PA1661	NC_002516.2	1809737	1810744	+	1008	13	26	10	17	29	2	2	16	89	5	75	20
gene-PA1662	NC_002516.2	1810751	1813384	+	2634	56	72	37	114	99	1	18	78	248	26	292	42
gene-PA1663	NC_002516.2	1813395	1814906	+	1512	17	27	10	38	50	0	2	16	72	11	95	29
gene-PA1664	NC_002516.2	1814995	1815135	+	141	5	1	3	4	5	1	0	3	7	6	13	7
gene-PA1665	NC_002516.2	1815153	1816346	+	1194	13	11	14	29	24	3	1	12	24	18	55	28
gene-PA1666	NC_002516.2	1816352	1816858	+	507	11	17	7	26	28	3	6	7	20	13	48	21
gene-PA1667	NC_002516.2	1816855	1818186	+	1332	17	33	14	55	45	0	9	11	46	7	52	48
gene-PA1668	NC_002516.2	1818189	1819058	+	870	13	18	10	18	24	0	5	4	20	10	33	33
gene-PA1669	NC_002516.2	1819074	1822601	+	3528	51	57	49	109	96	0	22	30	103	36	114	77
gene-PA1670	NC_002516.2	1822601	1823329	+	729	10	19	15	32	22	0	5	4	15	6	20	13
gene-PA1671	NC_002516.2	1823326	1824315	+	990	12	29	18	34	28	0	5	8	30	3	14	11
gene-PA1672	NC_002516.2	1824343	1824723	-	381	19	78	22	79	65	1	11	17	65	12	60	31
gene-PA1673	NC_002516.2	1824969	1825430	+	462	16	1877	13	1690	861	2	8	16	79	10	47	28
gene-PA1674	NC_002516.2	1825495	1826040	-	546	114	657	156	863	712	4	98	162	730	113	790	170
gene-PA1675	NC_002516.2	1826118	1826675	-	558	15	116	21	116	91	1	14	17	74	13	75	26
gene-PA1676	NC_002516.2	1826732	1827052	-	321	5	20	3	15	6	0	2	8	18	1	11	7
gene-PA1677	NC_002516.2	1827225	1827821	-	597	9	21	8	30	35	1	2	14	35	4	29	17
gene-PA1678	NC_002516.2	1827992	1828906	+	915	22	127	43	230	170	1	21	34	144	23	135	40
gene-PA1679	NC_002516.2	1828931	1829710	-	780	16	90	29	131	108	2	9	25	92	13	96	42
gene-PA1680	NC_002516.2	1829788	1830771	-	984	4	11	6	21	14	0	0	7	19	3	8	5
gene-PA1681	NC_002516.2	1830879	1831970	+	1092	46	154	55	222	201	4	39	56	203	46	221	73
gene-PA1682	NC_002516.2	1832014	1833165	+	1152	20	92	16	119	128	0	14	13	111	10	99	28
gene-PA1683	NC_002516.2	1833162	1833779	+	618	14	102	18	85	78	1	9	27	97	5	97	30
gene-PA1684	NC_002516.2	1833776	1834321	+	546	14	77	9	64	64	1	6	16	72	7	81	22
gene-PA1685	NC_002516.2	1834393	1835142	+	750	11	101	25	114	129	1	12	16	92	12	97	19
gene-PA1686	NC_002516.2	1835325	1836218	-	894	12	37	13	72	54	1	5	21	61	7	64	9
gene-PA1687	NC_002516.2	1836367	1837227	+	861	52	123	59	183	197	5	48	49	129	58	228	123
gene-PA1688	NC_002516.2	1837388	1838257	+	870	99	289	54	257	207	1	34	120	845	89	544	349
gene-PA1689	NC_002516.2	1838260	1840362	+	2103	143	253	91	288	313	5	73	170	667	138	717	292
gene-PA1690	NC_002516.2	1840468	1841517	-	1050	8	39	9	60	52	2	5	9	33	2	44	11
gene-PA1691	NC_002516.2	1841514	1842302	-	789	3	14	1	28	25	2	0	6	10	1	12	7
gene-PA1692	NC_002516.2	1842299	1842565	-	267	0	11	1	12	20	0	1	2	8	3	10	4
gene-PA1693	NC_002516.2	1842568	1843221	-	654	10	37	11	68	54	2	5	8	71	6	39	11
gene-PA1694	NC_002516.2	1843218	1844147	-	930	11	18	11	55	48	1	4	13	28	10	28	11
gene-PA1695	NC_002516.2	1844144	1845253	-	1110	5	6	8	42	14	1	5	2	13	5	16	7
gene-PA1696	NC_002516.2	1845241	1845717	-	477	5	11	9	38	35	0	6	5	18	5	9	2
gene-PA1697	NC_002516.2	1845714	1847036	-	1323	16	48	22	150	121	1	13	10	47	15	44	11
gene-PA1698	NC_002516.2	1847227	1848093	+	867	12	46	18	179	99	1	16	13	39	10	61	13
gene-PA1699	NC_002516.2	1848074	1848352	+	279	4	22	7	70	62	0	7	8	19	6	28	8
gene-PA1700	NC_002516.2	1848339	1848710	+	372	1	28	8	81	65	0	6	9	24	5	21	6
gene-PA1701	NC_002516.2	1848707	1849072	+	366	6	18	2	46	31	0	4	1	10	1	8	1
gene-PA1702	NC_002516.2	1849077	1849406	+	330	6	10	1	34	27	0	1	3	11	0	8	2
gene-PA1703	NC_002516.2	1849403	1851523	+	2121	34	138	31	396	252	1	23	30	124	22	179	39
gene-PA1704	NC_002516.2	1851520	1851954	+	435	5	13	2	56	22	0	1	2	21	2	16	4
gene-PA1705	NC_002516.2	1851982	1852278	+	297	6	18	9	71	47	0	3	7	26	3	22	2
gene-PA1706	NC_002516.2	1852288	1853172	+	885	18	47	14	155	74	1	6	9	48	11	68	17
gene-PA1707	NC_002516.2	1853181	1853684	+	504	24	95	20	261	98	3	17	36	62	22	83	23
gene-PA1708	NC_002516.2	1853665	1854837	+	1173	52	196	77	638	335	3	42	115	154	49	349	67
gene-PA1709	NC_002516.2	1854849	1855736	+	888	108	137	94	692	381	5	39	111	209	82	446	82
gene-PA1710	NC_002516.2	1855862	1856299	+	438	96	609	123	1177	830	2	74	92	448	83	465	108
gene-PA1711	NC_002516.2	1856308	1856553	+	246	48	198	54	578	303	2	32	55	146	42	169	41
gene-PA1712	NC_002516.2	1856562	1856975	+	414	35	148	27	444	231	1	22	44	152	30	122	32
gene-PA1713	NC_002516.2	1857273	1858109	+	837	44	435	68	564	348	0	38	83	290	52	327	96
gene-PA1714	NC_002516.2	1858207	1859037	+	831	32	234	51	418	356	1	29	58	197	37	268	61
